mode,N,steps,elapsed_ms,throughput_Gpt_s,max_delta,converged,block,tile,stencil_shared_kb,validation_max_abs_error
serial,512,2000,16263.349,0.031986,0.01210403,0,,,,
serial,1024,2000,36411.615,0.057371,0.01210403,0,,,,
serial,2048,2000,82586.72,0.101375,0.01210403,0,,,,
cuda_naive,1024,2000,239.536,8.72089,0.01210403,0,8x8,,,
cuda_naive,1024,2000,156.582,13.341076,0.01210403,0,16x16,,,
cuda_naive,1024,2000,191.906,10.885361,0.01210403,0,32x32,,,
cuda_shared,1024,2000,794.778,2.628368,0.01210403,0,,8x8,0.391,
cuda_shared,1024,2000,422.89,4.939744,0.01210403,0,,16x16,1.266,
cuda_shared,1024,2000,471.476,4.430697,0.01210403,0,,32x32,4.516,
cuda_naive,256,2000,22.447,5.748396,0.01210022,0,8x8,,,
cuda_shared,256,2000,38.135,3.383555,0.01210022,0,,16x16,1.266,
cuda_naive,512,2000,69.495,7.485455,0.01210403,0,8x8,,,
cuda_shared,512,2000,116.708,4.457271,0.01210403,0,,16x16,1.266,
cuda_naive,1024,2000,239.063,8.738136,0.01210403,0,8x8,,,
cuda_shared,1024,2000,423.203,4.936087,0.01210403,0,,16x16,1.266,
cuda_naive,2048,2000,938.958,8.916513,0.01210403,0,8x8,,,
cuda_shared,2048,2000,1643.056,5.095524,0.01210403,0,,16x16,1.266,
cuda_naive,4096,2000,3643.842,9.19954,0.01210403,0,8x8,,,
cuda_shared,4096,2000,6494.392,5.161633,0.01210403,0,,16x16,1.266,
cuda_naive,256,2000,18.224,7.08025,0.01210022,0,16x16,,,
cuda_naive,512,2000,49.298,10.552054,0.01210403,0,16x16,,,
cuda_naive,2048,2000,585.159,14.307614,0.01210403,0,16x16,,,
cuda_naive,4096,2000,2272.114,14.753514,0.01210403,0,16x16,,,
