mode,N,steps,elapsed_ms,throughput_Gpt_s,max_delta,converged,block,tile,stencil_shared_kb,validation_max_abs_error
serial,256,8000,2699.844,0.19117,0.002788544,0,,,,
serial,512,2000,980.742,0.530415,0.01210403,0,,,,
serial,1024,2000,3843.741,0.543473,0.01210403,0,,,,
serial,2048,2000,15809.768,0.529561,0.01210403,0,,,,
cuda_naive,1024,2000,58.312,35.823908,0.01210403,0,8x8,,,
cuda_naive,1024,2000,62.867,33.228399,0.01210403,0,16x16,,,
cuda_naive,1024,2000,59.46,35.132347,0.01210403,0,32x32,,,
cuda_shared,1024,2000,105.182,19.860581,0.01210403,0,,8x8,0.391,
cuda_shared,1024,2000,90.313,23.130382,0.01210403,0,,16x16,1.266,
cuda_shared,1024,2000,127.187,16.42438,0.01210403,0,,32x32,4.516,
cuda_naive,256,2000,45.13,2.859113,0.01210022,0,16x16,,,
cuda_shared,256,2000,53.452,2.413966,0.01210022,0,,16x16,1.266,
cuda_naive,512,2000,57.759,9.006442,0.01210403,0,16x16,,,
cuda_shared,512,2000,47.565,10.936509,0.01210403,0,,16x16,1.266,
cuda_naive,1024,2000,61.487,33.974055,0.01210403,0,16x16,,,
cuda_shared,1024,2000,98.639,21.177897,0.01210403,0,,16x16,1.266,
cuda_naive,2048,2000,205.768,40.687734,0.01210403,0,16x16,,,
cuda_shared,2048,2000,438.868,19.076863,0.01210403,0,,16x16,1.266,
cuda_naive,4096,2000,1471.319,22.783418,0.01210403,0,16x16,,,
cuda_shared,4096,2000,2226.153,15.058119,0.01210403,0,,16x16,1.266,
cuda_naive,256,2000,51.396,2.510538,0.01210022,0,8x8,,,
cuda_naive,512,2000,55.376,9.394044,0.01210403,0,8x8,,,
cuda_naive,2048,2000,255.98,32.706631,0.01210403,0,8x8,,,
cuda_naive,4096,2000,1497.741,22.381486,0.01210403,0,8x8,,,
